CT,population,onerace,white,black,am.indian,asian,pac.islander,other,multiracial
1001020100,1912,1881,84.8,11.3,0.7,0.7,0,0.7,1.8
1001020200,2170,2142,40.9,56.1,0.2,0.2,0,1.2,1.4
1001020300,3373,3291,76.4,19.2,0.3,0.5,0.1,1,2.5
1001020400,4386,4334,93.2,4.4,0.3,0.4,0.1,0.5,1.1
1001020500,10766,10546,80.5,13.3,0.4,2.7,0.1,0.8,2.2
1001020600,3668,3594,75,20.2,0.3,0.2,0,2.3,2
1001020700,2891,2838,80.7,15,0.4,0.4,0.1,1.5,1.9
1001020801,3081,3033,87.3,9,0.9,0.5,0,0.7,1.6
1001020802,10435,10295,83.8,13.3,0.5,0.6,0.1,0.5,1.2
1001020900,5675,5594,85.2,12,0.2,0.4,0.1,0.8,1.3
1001021000,2894,2866,76.8,20.8,0.6,0.1,0,0.7,1
1001021100,3320,3288,43.4,54.5,0.4,0.1,0,0.6,1
1003010100,3804,3763,75.3,21.7,1.7,0.2,0,0.1,1
1003010200,2902,2851,85.1,9.7,2.5,0.4,0,0.6,1.7
1003010300,7826,7693,77.8,18.4,1,0.4,0,0.7,1.7
1003010400,4736,4655,91.6,5.3,0.7,0.2,0,0.4,1.8
1003010500,4815,4739,81.5,13.9,1.2,1.2,0,0.6,1.6
1003010600,3325,3257,39.8,55.7,0.9,0.1,0,1.5,2
1003010701,7882,7817,94.2,2.8,0.4,1.3,0.2,0.3,0.8
1003010703,13166,12994,88,8.1,0.4,1.6,0,0.7,1.2
1003010704,5055,4977,89.6,6.5,0.4,1.1,0,0.7,1.7
1003010705,8331,8215,82.4,12.3,0.6,1.9,0.1,1.2,1.5
1003010800,6861,6803,73.6,23.9,0.2,0.9,0,0.4,1
1003010903,5173,5093,77.3,18.4,0.7,0.3,0,1.7,1.6
1003010904,6831,6707,93.1,2.1,1.5,0.3,0.1,1.1,1.8
1003010905,8011,7876,86.1,5.3,0.6,0.4,0,5.8,1.8
1003010906,4302,4250,91,4.5,0.6,0.4,0,2.3,1.2
1003011000,4305,4208,84.9,6.5,1.1,0.1,0.1,5,2.3
1003011101,8397,8331,91.2,5.3,0.2,0.7,0.1,1.8,0.7
1003011102,3715,3669,91.7,4.2,0.5,0.5,0,1.9,1.2
1003011201,4230,4197,95.5,2.6,0,0.7,0,0.3,0.9
1003011202,5065,5026,75.3,22.6,0.2,0.4,0,0.7,0.8
1003011300,4487,4430,93.4,4.1,0.2,0.2,0,0.8,1.3
1003011401,10632,10422,84.6,9,0.8,0.4,0,3.2,2
1003011403,9131,8985,90.3,2.2,0.5,0.6,0.1,4.7,1.6
1003011405,3832,3786,97,0.1,0.7,0.7,0,0.3,1.2
1003011406,3412,3323,92,0.7,0.7,1.1,0.4,2.5,2.6
1003011407,4799,4682,94.3,1.2,0.5,0.8,0,0.8,2.4
1003011408,433,426,96.5,0.2,1.6,0,0,0,1.7
1003011501,5316,5247,85.8,6.9,0.7,0.8,0,4.6,1.2
1003011502,10534,10348,74.2,16.1,0.7,1.1,0.1,6.1,1.7
1003011601,6062,5955,94,1,0.7,0.6,0,1.9,1.8
1003011602,4895,4817,94.7,2.4,0.6,0.3,0,0.3,1.7
1003990000,0,0,(X),(X),(X),(X),(X),(X),100
1005950100,3321,3285,46.8,48.1,1.7,0.4,0,2,1
1005950200,4264,4249,34.5,64.8,0.2,0.1,0,0.1,0.3
1005950300,1638,1623,43.8,52.7,0.2,0,0,2.3,1
1005950400,4303,4246,47.5,40.3,0.2,0.2,0.2,10.2,1.4
1005950500,3467,3422,71.7,21.7,0.7,0.8,0,3.8,1.3
1005950600,2099,2071,54.7,42.5,0.2,0.5,0,0.7,1.4
1005950700,1727,1717,44.2,53.4,0.2,0.1,0,1.6,0.5
1005950800,2055,2042,56,40.5,0.3,1.5,0,1.1,0.6
1005950900,4583,4544,40.2,55,0,0.2,0.4,3.3,0.9
1007010001,2732,2719,88.2,10.1,0.3,0,0,0.9,0.5
1007010002,6025,5970,92.8,5.3,0.2,0.1,0,0.6,1
1007010003,5391,5318,81.7,15.1,0.6,0.1,0,1,1.5
1007010004,8767,8705,56.7,41.4,0.1,0.1,0.1,0.8,0.8
1009050101,7858,7776,86.4,3.3,0.7,0.2,0,8.3,1.1
1009050102,7050,6974,87.5,2.5,0.2,0.4,0.1,8.2,1.1
1009050200,3789,3751,88.7,0.5,0.4,0.2,0,9.2,1
1009050300,5269,5180,91,0.4,1,0.1,0.2,5.6,1.7
1009050400,4451,4381,95.6,0.3,0.4,0.2,0,2,1.5
1009050500,7329,7238,93.5,0.5,0.6,0.2,0.3,3.7,1.2
1009050601,3922,3872,98.1,0.2,0.2,0,0,0.2,1.3
1009050602,8923,8806,95.9,1.8,0.6,0.2,0,0.2,1.3
1009050700,8731,8660,96.7,0.8,0.5,0.2,0,1,0.8
1011952100,1434,1429,9.2,89.9,0.3,0,0,0.3,0.3
1011952200,7102,7056,19,71.7,0.2,0.3,0.6,7.6,0.6
1011952500,2378,2343,43.1,53.9,0.3,0,0,1.2,1.5
1013952700,2439,2425,54,43.7,0.3,1.5,0,0,0.5
1013952800,1394,1387,77,20.6,0,0.9,0,1.1,0.4
1013952900,2180,2168,41.2,55.6,0.2,2.2,0,0.2,0.6
1013953000,1469,1456,57.4,38,0.1,3.4,0,0.2,0.9
1013953100,3023,3001,26,72.7,0.1,0.3,0.2,0,0.7
1013953200,4327,4307,60.5,37.5,0.8,0.3,0,0.5,0.4
1013953300,1774,1766,89.1,10,0.2,0.2,0,0,0.5
1013953400,2931,2893,42.2,56,0.2,0.1,0.1,0.1,1.3
1013953500,1410,1383,74.2,23.7,0.2,0,0,0,1.9
1015000200,3104,3055,41.1,55.6,0.4,0.4,0,0.9,1.6
1015000300,2951,2914,17.1,80.9,0.4,0.1,0,0.2,1.3
1015000400,2812,2786,36.2,60.9,0.5,0.2,0,1.3,0.9
1015000500,1814,1783,6.7,90.8,0.2,0.1,0,0.6,1.6
1015000600,2191,2142,24.1,72.8,0.2,0.2,0,0.4,2.3
1015000700,2715,2623,52.9,40.6,0.6,1.1,0.2,1.3,3.3
1015000800,1379,1357,51.2,43.7,0.5,0.1,0,3,1.5
1015000900,3362,3322,79.7,17.6,0.1,0.8,0,0.6,1.2
1015001000,5792,5718,71.9,20.4,0.4,2.7,0.1,3.2,1.3
1015001100,6565,6470,77.4,13.3,0.5,1.2,0,6.1,1.5
1015001201,3482,3446,63.7,29.2,0.3,0.4,0.1,5.3,1
1015001202,4318,4254,80.2,11.9,0.4,0.7,0,5.2,1.6
1015001300,2211,2168,93.8,2.9,0.6,0.3,0,0.4,2
1015001400,3731,3688,78,19.5,0.5,0.1,0,0.8,1.1
1015001500,5198,5111,87.1,8.3,0.6,0.2,0,2.1,1.7
1015001600,3791,3714,80.3,14.3,0.4,0.7,0,2.3,2
1015001700,6329,6186,73,22.1,0.4,0.9,0.1,1.2,2.3
1015001800,6919,6756,83.1,12.4,0.7,0.8,0.2,0.5,2.3
1015002000,7335,7221,90.9,4.9,0.4,0.7,0,1.5,1.6
1015002101,3992,3956,54.8,42.1,0.4,1,0.1,0.8,0.8
1015002102,3411,3354,82.4,13.6,0.4,1,0.1,0.7,1.8
1015002103,6801,6623,73.3,20.7,0.7,1.6,0.2,0.9,2.6
1015002200,3652,3608,94.2,3.7,0.4,0.1,0,0.4,1.2
1015002300,3843,3760,84.4,12.1,0.5,0.1,0,0.7,2.2
1015002400,4518,4465,95.3,2,0.5,0.4,0.1,0.6,1.1
1015002501,7069,6979,89.1,8,0.5,0.4,0.2,0.4,1.4
1015002502,4661,4589,95.5,1.7,0.4,0.4,0.2,0.4,1.4
1015002600,4615,4538,93.7,3.6,0.5,0.1,0,0.4,1.7
1015981901,6,6,100,0,0,0,0,0,0
1015981902,5,5,40,60,0,0,0,0,0
1015981903,0,0,(X),(X),(X),(X),(X),(X),100
1017953800,3619,3584,70.4,27.8,0.2,0.1,0,0.5,1
1017953900,2900,2873,47.7,50.8,0.1,0.2,0,0.3,0.9
1017954000,6669,6608,41.4,56.9,0.1,0.2,0,0.4,1
1017954200,3257,3227,74.8,22.9,0.6,0.4,0,0.4,0.9
1017954300,4708,4656,57.3,38.9,0.3,2.3,0,0.2,1
1017954400,995,983,18.3,79.8,0,0,0,0.7,1.2
1017954500,3804,3728,50.4,45.2,0.3,0.1,0,2.1,1.9
1017954600,3411,3378,80.8,16.7,0.1,0.3,0.2,0.9,1
1017954700,4852,4793,70.7,27.3,0.1,0.2,0,0.4,1.3
1019955701,3332,3265,88.5,8.3,0.5,0.3,0,0.3,2.1
1019955702,3872,3825,97.7,0.4,0.4,0.1,0,0.3,1.1
1019955800,5561,5478,94.1,2.2,0.6,0.2,0,1.4,1.5
1019955900,4235,4162,90,7.2,0.6,0.2,0,0.3,1.7
1019956000,4017,3961,91.6,6.3,0.3,0.3,0,0.1,1.4
1019956100,4972,4911,93,4.7,0.6,0.3,0,0.1,1.3
1021060101,5219,5152,67.5,24.7,0.2,0.4,0.1,5.9,1.2
1021060102,6303,6220,82.9,10,0.3,0.7,0.1,4.7,1.3
1021060200,2807,2777,97.3,0.5,0.3,0.1,0,0.7,1.1
1021060300,3808,3767,93.3,0.7,0.7,0.2,0,4.1,1
1021060401,5466,5414,86.1,7.2,0.2,0.3,0.1,5.2,0.9
1021060402,8776,8666,86.1,6.8,0.5,0.2,0.1,5.1,1.2
1021060500,2902,2864,74.7,22.6,0.1,0.1,0.2,0.8,1.5
1021060600,3261,3231,90.9,3.9,0.2,0.2,0,3.8,1
1021060700,5101,5046,84.1,9.9,0.6,0.1,0.5,3.7,1.1
1023956700,3184,3170,19.1,80.3,0.2,0,0,0,0.4
1023956800,4423,4399,62.6,35.9,0.2,0.2,0,0.5,0.6
1023956900,3879,3867,82.7,16.7,0.1,0.1,0,0.1,0.3
1023957000,2373,2365,48.2,51.4,0.1,0,0,0,0.3
1025957500,1760,1748,76.9,21.7,0.3,0.1,0,0.2,0.8
1025957601,998,996,73.3,24.8,0.3,1.1,0,0.2,0.3
1025957602,5515,5480,55,43.1,0.2,0.6,0,0.4,0.7
1025957700,1329,1314,54.6,43.8,0.4,0.2,0,0,1
1025957800,5488,5444,49.9,48.7,0.3,0.1,0,0.2,0.8
1025957901,3493,3459,66.7,31.5,0.3,0.1,0,0.3,1.1
1025957902,4230,4207,51,46.9,0.8,0.4,0,0.4,0.5
1025958001,1289,1284,50,48.8,0.8,0,0,0,0.4
1025958002,1731,1725,20.5,78.7,0.4,0.1,0,0.1,0.2
1027958900,5324,5203,76.3,19.8,0.4,0.1,0,1.2,2.2
1027959000,3224,3171,76.2,19.1,0.5,0.5,0,2.1,1.6
1027959100,2904,2868,96.5,0.9,0.3,0,0,1,1.3
1027959200,2480,2455,83.1,15,0.4,0.1,0,0.4,1
1029959500,2684,2648,97.5,0.3,0.4,0,0,0.4,1.4
1029959600,4202,4143,89.2,7.9,0.4,0.1,0.1,0.9,1.4
1029959700,3419,3378,91.1,4.5,0.2,0.4,0.2,2.5,1.1
1029959800,4667,4643,98.5,0.1,0.3,0.1,0,0.4,0.6
1031010100,2057,2000,89.9,3.9,3,0.2,0,0.1,2.9
1031010200,1841,1811,88.1,7.7,2.2,0.1,0,0.3,1.6
1031010300,4258,4164,85.7,8,2.7,1,0,0.4,2.2
1031010400,2152,2109,76.2,17.9,2.4,0.1,0.3,1.2,1.9
1031010500,4558,4493,65.1,31.5,1.1,0.2,0,0.7,1.4
1031010600,1561,1525,93,1.2,3.3,0.3,0,0,2.2
1031010700,2286,2246,90.2,3.8,3.2,0.2,0,0.7,1.9
1031010800,2840,2793,91.7,4.6,0.7,0.7,0.1,0.5,1.7
1031010900,2117,2079,64.5,30.1,0.6,0.9,0.1,2,1.8
1031011000,3526,3440,60,22.2,0.8,0.7,0,14,2.3
1031011100,2026,1973,76.2,18.2,0.4,0.7,0.1,1.8,2.6
1031011201,8036,7842,86.3,6.8,0.5,2.1,0.2,1.7,2.4
1031011202,8530,8211,65.3,19.9,0.5,3.1,0.6,6.8,3.8
1031011300,4160,4015,47,41.1,1.3,1.5,0.3,5.2,3.6
1033020100,3467,3396,74.2,21.5,0.3,0.4,0,1.5,2.1
1033020200,1957,1931,78.8,18.4,0.2,0.1,0,1.2,1.3
1033020300,2032,2000,34.4,62.4,0.2,0,0.2,1.2,1.6
1033020400,1530,1503,93.2,3.6,0.5,0.9,0,0,1.8
1033020500,5221,5129,87.3,9.6,0.4,0.4,0,0.4,1.9
1033020600,4128,4054,64.1,33.2,0.3,0.1,0,0.5,1.8
1033020701,6103,6035,84.3,12.1,0.3,0.6,0.1,1.5,1.1
1033020703,5175,5094,76.8,18.9,0.3,1.2,0,1.3,1.5
1033020704,4321,4251,83.7,12.8,0.3,0.7,0,0.9,1.6
1033020801,4487,4390,76.6,19.2,0.7,0.4,0,0.9,2.2
1033020802,3766,3712,79.3,15.8,1.5,0.1,0.2,1.8,1.3
1033020901,4327,4283,94.6,3,0.8,0.2,0,0.4,1
1033020902,3972,3917,92.4,5,0.5,0.2,0,0.5,1.4
1033021000,3942,3888,86.8,10.6,0.5,0.2,0,0.7,1.2
1035960200,1808,1791,48.4,50.1,0.2,0.1,0,0.3,0.9
1035960300,1731,1700,72.9,24.5,0.6,0.2,0,0.1,1.7
1035960400,3251,3225,52.4,46.1,0.3,0,0,0.4,0.8
1035960500,1771,1762,53.4,43.4,0.2,0.3,0,2.3,0.4
1035960600,4667,4618,42.9,54.7,0.4,0.1,0,0.8,1.1
1037961000,3956,3914,39.3,57.6,0.4,0.1,0,1.6,1
1037961100,3927,3887,92.6,5.6,0.5,0.1,0,0.2,1
1037961200,3656,3635,67.3,29.6,0.1,0.3,0.4,1.7,0.6
1039961600,4133,4096,95.1,3.4,0.2,0.1,0,0.2,1
1039961700,4032,3985,87.7,9.9,0.5,0.1,0,0.4,1.4
1039961800,3129,3080,73.4,23.3,0.7,0.2,0,0.8,1.6
1039961900,2127,2104,83.7,14.3,0.4,0.4,0,0.1,1.1
1039962000,3917,3851,72.3,23.8,0.4,1.4,0,0.4,1.7
1039962100,2011,1971,71.3,24.8,0.2,1.2,0,0.5,2
1039962300,3279,3230,96.5,0.5,0.8,0.4,0,0.3,1.5
1039962400,3144,3120,95.1,3.1,0.6,0.3,0,0.2,0.7
1039962500,1524,1513,93.6,4.5,0.8,0.3,0,0.1,0.7
1039962600,1517,1494,80.1,16.9,0.7,0,0,0.8,1.5
1039962700,1686,1653,52.7,44.3,0.6,0.4,0,0.1,1.9
1039962800,1736,1709,96,0.6,1.3,0.1,0,0.5,1.5
1039962900,1846,1826,96,2.3,0.5,0.1,0,0,1.1
1039963000,3684,3611,83.9,12.8,0.5,0.3,0,0.5,2
1041963400,1925,1887,59.5,38,0.2,0.1,0,0.2,2
1041963500,1903,1876,83.4,14.4,0.3,0.1,0,0.4,1.4
1041963600,3180,3142,73.7,22.9,0.4,1.4,0,0.5,1.1
1041963700,3809,3756,70.9,22.5,0.3,3.5,0.2,1.2,1.4
1041963800,1681,1652,69.5,26.2,0.8,0.3,0,1.5,1.7
1041963900,1408,1391,82,15.8,0.6,0.3,0,0.1,1.2
1043964100,5582,5481,94.6,0.4,0.7,0.2,0.1,2.1,1.9
1043964200,7373,7287,94.5,0.4,0.4,0.2,0,3.4,1.1
1043964300,5001,4946,96.4,0.3,0.3,0.3,0,1.5,1.2
1043964400,4112,4092,97.2,0,0.4,0.5,0,1.4,0.5
1043964500,4180,4138,96.7,0.1,1.1,0,0,1.1,1
1043964600,4007,3970,96.3,0.2,1.1,0.1,0,1.3,1
1043964700,4643,4601,94.7,0.3,0.4,0.5,0,3.2,0.9
1043964800,4289,4242,92.9,0.5,0.5,0.8,0,4.2,1.1
1043964900,6683,6620,93.7,0.6,0.5,1.2,0.1,3.1,0.8
1043965000,6071,6010,92.4,1.4,0.1,0.9,0,4.3,0.9
1043965100,3578,3534,93.8,0.1,0.5,0.4,0,4,1.2
1043965200,2309,2277,96,0.7,0.7,0.6,0,0.5,1.5
1043965300,4539,4504,97.2,0.2,0.6,0.1,0,1.2,0.7
1043965401,3310,3262,91.8,4.6,0.2,0.3,0,1.6,1.5
1043965402,4189,4118,94.4,1.6,0.5,0.5,0,1.3,1.7
1043965500,5631,5561,90.9,6.4,0.6,0.2,0,0.7,1.2
1043965600,2257,2240,97.6,0,0.9,0.3,0,0.4,0.8
1043965700,2652,2634,98.5,0.3,0.1,0.3,0,0.1,0.7
