St/County/Tract,Land Area (square miles)
1001020100,3.775
1001020200,1.2905
1001020300,2.0869
1001020400,2.4657
1001020500,4.457
1001020600,3.2463
1001020700,8.7432
1001020800,122.358
1001020900,113.1683
1001021000,149.7241
1001021100,184.653
1003010100,375.6926
1003010200,85.2801
1003010300,134.3581
1003010400,286.0009
1003010500,6.8564
1003010600,7.0659
1003010701,42.7368
1003010703,55.6666
1003010704,3.2788
1003010705,6.7189
1003010800,7.0031
1003010901,128.286
1003010902,42.873
1003011000,50.3799
1003011100,30.8266
1003011201,4.7986
1003011202,5.3105
1003011300,25.5035
1003011401,63.6411
1003011403,32.8896
1003011404,43.6405
1003011500,35.0235
1003011600,122.5157
1005950100,187.3001
1005950200,199.754
1005950300,136.2055
1005950400,132.5436
1005950500,128.9415
1005950600,39.2467
1005950700,48.9781
1005950800,5.6225
1005950900,6.3116
1007010000,161.039
1007010100,194.7761
1007010200,267.2099
1009050101,82.982
1009050102,71.0916
1009050200,45.048
1009050300,73.3524
1009050400,94.7533
1009050500,96.4943
1009050600,103.0028
1009050700,78.8608
1011952100,165.3022
1011952200,154.4072
1011952300,135.9356
1011952400,169.3676
1013952700,51.7081
1013952800,1.3292
1013952900,22.2194
1013953000,170.6584
1013953100,12.2891
1013953200,184.9107
1013953300,135.9903
1013953400,96.1001
1013953500,101.6618
1015000100,2.643
1015000200,2.626
1015000300,1.0262
1015000400,3.946
1015000500,0.9033
1015000600,2.6323
1015000800,1.4073
1015000900,4.7362
1015001000,6.483
1015001100,19.0108
1015001200,10.848
1015001300,3.0628
1015001400,8.1278
1015001500,80.5838
1015001600,5.456
1015001700,7.196
1015001800,15.8442
1015001900,29.0114
1015002000,93.3357
1015002101,5.312
1015002102,7.8617
1015002103,9.8855
1015002200,33.5407
1015002300,34.2649
1015002400,48.5894
1015002501,37.6888
1015002502,63.5914
1015002600,68.8472
1017953800,199.1834
1017953900,37.9229
1017954000,261.5893
1017954200,24.3205
1017954300,51.3123
1017954400,1.7226
1017954500,2.6986
1017954600,3.7232
1017954700,14.6948
1019955700,176.5675
1019955800,90.2717
1019955900,118.468
1019956000,24.2
1019956100,143.6136
1021060101,21.6523
1021060102,24.9779
1021060200,38.0717
1021060300,105.1468
1021060401,35.2625
1021060402,94.367
1021060500,174.7937
1021060600,100.6537
1021060700,99.0533
1023956700,222.9445
1023956800,290.5385
1023956900,223.1433
1023957000,176.8877
1025957500,96.182
1025957600,263.665
1025957700,142.8317
1025957800,321.681
1025957901,145.0501
1025957902,41.6457
1025958000,227.3197
1027958900,198.3964
1027959000,67.6248
1027959100,148.0427
1027959200,191.01
1029959500,189.6791
1029959600,94.8381
1029959700,161.2882
1029959800,114.4058
1031010100,93.8459
1031010200,80.4471
1031010300,112.43
1031010400,81.1706
1031010500,77.4571
1031010600,49.4889
1031010700,82.4421
1031010800,52.8693
1031010900,7.8319
1031011000,11.0456
1031011100,1.2789
1031011201,16.2321
1031011202,4.8455
1031011300,7.6052
1033020100,1.76
1033020200,0.8533
1033020300,2.0198
1033020400,2.1421
1033020500,9.1275
1033020600,3.8012
1033020701,43.9801
1033020702,5.9246
1033020801,45.9178
1033020802,83.279
1033020900,152.2503
1033021000,243.4768
1035960200,217.8685
1035960300,151.181
1035960400,185.7738
1035960500,35.1955
1035960600,260.7753
1037961000,97.3968
1037961100,303.7418
1037961200,251.3049
1039961600,139.2136
1039961700,195.1683
1039961800,17.006
1039961900,16.0492
1039962000,19.3778
1039962100,6.0271
1039962300,108.3088
1039962400,59.7005
1039962500,4.8404
1039962600,4.6298
1039962700,5.0461
1039962800,96.7952
1039962900,205.5341
1039963000,156.1192
1041963400,92.1737
1041963500,87.6013
1041963600,144.5328
1041963700,99.5816
1041963800,105.9127
1041963900,79.7781
1043964100,57.111
1043964200,59.8762
1043964300,34.8304
1043964400,29.7215
1043964500,83.7608
1043964600,51.365
1043964700,27.4299
1043964800,3.6296
1043964900,18.5111
1043965000,9.0932
1043965100,21.1527
1043965200,21.8083
1043965300,54.4896
1043965400,73.3441
1043965500,72.2411
1043965600,44.1427
1043965700,75.921
1045020100,140.6854
1045020200,95.4337
1045020300,42.9151
1045020400,23.8706
1045020500,4.3456
1045020700,4.6795
1045020800,21.4335
1045020900,45.3158
1045021000,21.898
1045021101,13.0513
1045021102,8.9405
1045021200,38.7198
1045021300,56.6688
1045021400,43.1163
1047996100,123.1896
1047996200,119.2479
1047996300,6.7648
1047996400,1.6041
1047996500,2.6703
1047996600,1.0471
1047996700,5.3376
1047996800,3.6141
1047996900,209.757
1047997000,347.7981
1047997100,79.3191
1047997200,13.1699
1047997300,67.193
1049960100,78.4556
1049960200,44.1527
1049960300,41.8559
1049960400,53.0106
1049960500,82.7323
1049960600,82.7567
1049960700,58.4004
1049960800,80.2141
1049960900,51.0968
1049961000,45.0613
1049961100,13.0698
1049961200,17.2298
1049961300,35.3946
1049961400,94.4823
1051030100,63.7357
1051030200,108.8356
1051030300,46.0261
1051030400,122.5959
1051030500,64.1896
1051030600,50.7941
1051030700,78.0596
1051030800,19.7273
1051030900,21.5971
1051031000,9.2118
1051031100,4.4677
1051031200,19.5004
1051031300,12.5149
1053969800,364.9998
1053969900,120.2459
1053970100,40.9292
1053970200,3.4586
1053970300,128.4739
1053970400,175.5319
1053970500,65.3962
1053970600,33.2382
1053970700,15.1092
1055000200,5.2906
1055000300,1.5613
1055000400,8.3681
1055000500,1.1567
1055000600,0.9124
1055000700,0.53
1055000800,0.7194
1055000900,4.363
1055001000,0.5887
1055001100,8.6568
1055001200,1.661
1055001300,1.6567
1055001400,0.5718
1055001500,0.4039
