tractid_census,total_workers,mean_dollars,total_dollars
1001020100,1030,42926,44213780
1001020200,1004,38937,39092748
1001020300,1687,40442,68225654
1001020400,1998,51390,102677220
1001020500,5492,52182,286583544
1001020600,1876,54674,102568424
1001020700,1291,39805,51388255
1001020801,1704,58343,99416472
1001020802,4974,49515,246287610
1001020900,2809,54006,151702854
1001021000,1614,48237,77854518
1001021100,1658,35157,58290306
1003010100,1560,47091,73461960
1003010200,1336,37765,50454040
1003010300,3517,55268,194377556
1003010400,1996,73734,147173064
1003010500,2562,42859,109804758
1003010600,1477,29827,44054479
1003010701,4229,73065,308991885
1003010703,9278,68777,638113006
1003010704,2732,56460,154248720
1003010705,5839,46149,269464011
1003010800,3709,60942,226033878
1003010903,3191,37056,118245696
1003010904,3192,47930,152992560
1003010905,4456,39481,175927336
1003010906,2334,37961,88600974
1003011000,1982,36354,72053628
1003011101,4433,60655,268883615
1003011102,2115,65740,139040100
1003011201,2048,95442,195465216
1003011202,2719,64665,175824135
1003011300,2093,67341,140944713
1003011401,4825,45434,219219050
1003011403,5110,68502,350045220
1003011405,1641,73514,120636474
1003011406,2027,38283,77599641
1003011407,2252,71836,161774672
1003011408,352,34844,12265088
1003011501,2752,42811,117815872
1003011502,5572,38554,214822888
1003011601,3192,39456,125943552
1003011602,2285,47715,109028775
1003990000,0,-,#VALUE!
1005950100,1553,45196,70189388
1005950200,1348,35803,48262444
1005950300,663,35220,23350860
1005950400,1287,42477,54667899
1005950500,1500,44672,67008000
1005950600,791,33380,26403580
1005950700,777,42774,33235398
1005950800,957,44309,42403713
1005950900,1638,43283,70897554
1007010001,1184,36604,43339136
1007010002,2623,49878,130829994
1007010003,2283,39304,89731032
1007010004,3253,35769,116356557
1009050101,3349,42554,142513346
1009050102,3121,46198,144183958
1009050200,1670,41020,68503400
1009050300,2037,42990,87570630
1009050400,1959,45887,89892633
1009050500,2751,41878,115206378
1009050601,1710,48004,82086840
1009050602,4560,53273,242924880
1009050700,3668,40819,149724092
1011952100,746,33452,24955192
1011952200,2441,30475,74389475
1011952500,1291,43483,56136553
1013952700,1077,35499,38232423
1013952800,779,48692,37931068
1013952900,980,38942,38163160
1013953000,687,43463,29859081
1013953100,1186,26680,31642480
1013953200,1616,41266,66685856
1013953300,794,41234,32739796
1013953400,976,37936,37025536
1013953500,497,33840,16818480
1015000200,1586,28460,45137560
1015000300,875,36854,32247250
1015000400,823,38018,31288814
1015000500,544,29000,15776000
1015000600,736,31091,22882976
1015000700,1323,38899,51463377
1015000800,419,47346,19837974
1015000900,1718,68121,117031878
1015001000,3159,47673,150599007
1015001100,3620,43999,159276380
1015001201,1534,39533,60643622
1015001202,2042,47088,96153696
1015001300,983,34226,33644158
1015001400,1366,43305,59154630
1015001500,2337,38056,88936872
1015001600,1769,34347,60759843
1015001700,3389,45950,155724550
1015001800,2929,39825,116647425
1015002000,3281,58852,193093412
1015002101,2761,35628,98368908
1015002102,1593,46060,73373580
1015002103,3599,48136,173241464
1015002200,1377,46954,64655658
1015002300,1512,37564,56796768
1015002400,2182,42257,92204774
1015002501,3945,45291,178672995
1015002502,2175,44507,96802725
1015002600,2348,45079,105845492
1015981901,0,-,#VALUE!
1015981902,0,-,#VALUE!
1015981903,0,-,#VALUE!
1017953800,1348,41819,56372012
1017953900,1211,37974,45986514
1017954000,2831,40913,115824703
1017954200,1675,40197,67329975
1017954300,2319,62692,145382748
1017954400,419,42512,17812528
1017954500,1337,38907,52018659
1017954600,1612,39309,63366108
1017954700,1945,36773,71523485
1019955701,1249,58482,73044018
1019955702,1684,37423,63020332
1019955800,2375,38183,90684625
1019955900,1911,50527,96557097
1019956000,1759,43520,76551680
1019956100,2090,39906,83403540
1021060101,2314,39867,92252238
1021060102,2767,51009,141141903
1021060200,1411,51589,72792079
1021060300,1749,46720,81713280
1021060401,2870,42784,122790080
1021060402,3481,41034,142839354
1021060500,1385,46701,64680885
1021060600,1562,47240,73788880
1021060700,2381,45509,108356929
1023956700,1166,49061,57205126
1023956800,1701,44593,75852693
1023956900,1458,62588,91253304
1023957000,788,44002,34673576
1025957500,483,46226,22327158
1025957601,430,48078,20673540
1025957602,2087,59720,124635640
1025957700,464,40082,18598048
1025957800,1755,52271,91735605
1025957901,1373,52769,72451837
1025957902,1555,44522,69231710
1025958001,306,77798,23806188
1025958002,589,33862,19944718
1027958900,2253,45476,102457428
1027959000,1387,39017,54116579
1027959100,1189,34923,41523447
1027959200,815,35808,29183520
1029959500,1141,36810,42000210
1029959600,1468,45844,67298992
1029959700,1606,41428,66533368
1029959800,2407,46050,110842350
1031010100,996,41701,41534196
1031010200,881,40373,35568613
1031010300,2275,53429,121550975
1031010400,962,41841,40251042
1031010500,2040,37790,77091600
1031010600,646,46307,29914322
1031010700,1076,42264,45476064
1031010800,1319,59447,78410593
1031010900,1043,40385,42121555
1031011000,1756,42201,74104956
1031011100,897,46481,41693457
1031011201,4081,71454,291603774
1031011202,5261,46534,244815374
1031011300,1455,38541,56077155
1033020100,1548,43677,67611996
1033020200,1165,38448,44791920
1033020300,787,31570,24845590
1033020400,674,52407,35322318
1033020500,2342,48883,114483986
1033020600,1701,41637,70824537
1033020701,2889,50960,147223440
1033020703,2611,55761,145591971
1033020704,2099,49770,104467230
1033020801,2243,43563,97711809
1033020802,1476,36574,53983224
1033020901,1765,47214,83332710
1033020902,1601,48127,77051327
1033021000,1306,50431,65862886
1035960200,624,45990,28697760
1035960300,603,56507,34073721
1035960400,1250,33194,41492500
1035960500,562,41050,23070100
1035960600,1090,33280,36275200
1037961000,1778,28553,50767234
1037961100,1424,38338,54593312
1037961200,1542,38384,59188128
1039961600,1912,46881,89636472
1039961700,1788,36564,65376432
1039961800,1193,36271,43271303
1039961900,1059,55065,58313835
1039962000,1764,45703,80620092
1039962100,839,45958,38558762
1039962300,1465,47591,69720815
1039962400,1478,52389,77430942
1039962500,585,46820,27389700
1039962600,517,36997,19127449
1039962700,633,33759,21369447
1039962800,852,40718,34691736
1039962900,810,57438,46524780
1039963000,1358,34112,46324096
1041963400,1017,38711,39369087
1041963500,914,39526,36126764
1041963600,1315,49045,64494175
1041963700,1500,45896,68844000
1041963800,810,43908,35565480
1041963900,688,50479,34729552
1043964100,2392,39248,93881216
1043964200,3088,40821,126055248
1043964300,2388,47689,113881332
1043964400,1913,51252,98045076
1043964500,1946,42209,82138714
1043964600,1691,45606,77119746
1043964700,2381,48985,116633285
1043964800,1855,43202,80139710
1043964900,2882,47887,138010334
1043965000,2877,45088,129718176
1043965100,1665,55974,93196710
1043965200,1082,47877,51802914
1043965300,2001,43475,86993475
1043965401,1086,42342,45983412
1043965402,1671,38600,64500600
1043965500,2649,51702,136958598
1043965600,1007,45546,45864822
1043965700,1020,44132,45014640
1045020000,2568,44325,113826600
1045020100,1473,52448,77255904
1045020200,1178,45018,53031204
1045020300,1199,41444,49691356
1045020400,996,55196,54975216
1045020500,788,40207,31683116
1045020700,1462,46954,68646748
1045020801,1571,38976,61231296
1045020802,1883,43541,81987703
1045021101,2452,48659,119311868
1045021102,2300,41372,95155600
1045021200,1063,47968,50989984
1045021300,2232,51675,115338600
1045021400,2637,36862,97205094
1047956100,3150,44858,141302700
1047956201,1138,50631,57618078
1047956202,766,48173,36900518
1047956300,1350,32906,44423100
1047956400,1287,24349,31337163
1047956500,1013,32644,33068372
1047956600,1158,34571,40033218
1047956701,1026,55581,57026106
1047956702,613,40896,25069248
1047956800,854,55905,47742870
1047956900,866,45236,39174376
1047957000,391,42308,16542428
1047957100,733,41527,30439291
1047957200,628,38440,24140320
1047957300,1408,32036,45106688
1049960100,2580,43663,112650540
1049960200,1263,45198,57085074
1049960300,3153,38542,121522926
1049960400,3017,40734,122894478
1049960500,2469,37662,92987478
1049960600,2699,34676,93590524
1049960700,3478,36406,126620068
1049960800,1785,32370,57780450
1049960900,1597,44891,71690927
1049961000,1777,37996,67518892
1049961100,1498,36820,55156360
1049961200,1039,62022,64440858
1049961300,2361,41119,97081959
1049961400,1693,40452,68485236
1051030100,3390,50376,170774640
1051030200,1891,43635,82513785
1051030300,1183,64220,75972260
1051030400,3563,47872,170567936
1051030500,2093,42499,88950407
1051030600,2700,48482,130901400
1051030701,3662,71902,263305124
1051030702,2204,64523,142208692
1051030800,3536,41798,147797728
1051030901,3065,52332,160397580
1051030902,2008,43284,86914272
1051031000,3895,44131,171890245
1051031100,2184,58409,127565256
1051031200,725,42298,30666050
1051031300,2070,44571,92261970
1053969800,1906,36529,69624274
1053969900,1881,47031,88465311
1053970100,1717,46162,79260154
1053970200,587,44053,25859111
1053970300,1197,42755,51177735
1053970400,1168,36438,42559584
1053970500,2027,46985,95238595
1053970600,1385,28894,40018190
1053970700,1634,38086,62232524
1055000200,1332,33758,44965656
1055000300,986,29920,29501120
1055000400,1949,46794,91201506
1055000500,737,34720,25588640
1055000600,752,32686,24579872
1055000700,414,25298,10473372
1055000800,421,34288,14435248
1055000900,1028,29921,30758788
1055001000,644,34695,22343580
1055001100,2101,84977,178536677
1055001200,1492,42703,63712876
1055001300,1324,29895,39580980
1055001600,1622,33910,55002020
1055001700,854,30613,26143502
1055010100,930,35913,33399090
1055010200,2327,41133,95716491
1055010300,1288,46169,59465672
1055010401,1803,45166,81434298
1055010402,2304,50953,117395712
1055010501,4425,50065,221537625
1055010502,2353,47937,112795761
