"","GEOID","msa"
"1",1001020100,"33860"
"16",1001020200,"33860"
"30",1001020300,"33860"
"40",1001020400,"33860"
"53",1001020500,"33860"
"68",1001020600,"33860"
"84",1001020700,"33860"
"114",1001020801,"33860"
"174",1001020802,"33860"
"221",1001020900,"33860"
"235",1001020900,"13820"
"252",1001021000,"33860"
"295",1001021000,"42820"
"329",1001021000,"13820"
"348",1001021100,"33860"
"364",1001021100,"42820"
"486",1003010100,"19300"
"487",1003010100,"12120"
"499",1003010100,"33660"
"545",1003010100,NA
"648",1003010200,"37860"
"649",1003010200,"19300"
"681",1003010200,"12120"
"692",1003010300,"19300"
"740",1003010300,"33660"
"773",1003010400,"19300"
"789",1003010400,"37860"
"917",1003010500,"19300"
"941",1003010600,"19300"
"957",1003010701,"19300"
"966",1003010701,NA
"968",1003010701,"33660"
"1015",1003010703,"19300"
"1103",1003010704,"19300"
"1123",1003010705,NA
"1129",1003010705,"33660"
"1131",1003010705,"19300"
"1156",1003010800,NA
"1161",1003010800,"19300"
"1181",1003010903,"19300"
"1213",1003010904,"19300"
"1214",1003010904,"37860"
"1339",1003010905,"19300"
"1386",1003010906,"19300"
"1427",1003011000,"19300"
"1476",1003011101,"19300"
"1498",1003011102,"19300"
"1549",1003011201,"19300"
"1550",1003011201,NA
"1572",1003011202,"19300"
"1575",1003011202,NA
"1587",1003011300,"19300"
"1614",1003011300,NA
"1625",1003011401,"19300"
"1649",1003011401,NA
"1678",1003011403,"19300"
"1692",1003011403,NA
"1711",1003011405,NA
"1712",1003011405,"19300"
"1729",1003011405,"37860"
"1742",1003011406,NA
"1745",1003011406,"19300"
"1763",1003011407,"19300"
"1764",1003011407,NA
"1785",1003011408,NA
"1805",1003011408,"19300"
"1812",1003011501,"19300"
"1829",1003011502,"19300"
"1846",1003011601,"19300"
"1936",1003011602,"19300"
"1972",1003011602,"37860"
"2010",1003990000,NA
"2082",1005950100,"21640"
"2083",1005950100,"17980"
"2144",1005950100,NA
"2213",1005950200,"21640"
"2230",1005950200,NA
"2318",1005950300,"21640"
"2366",1005950300,"45980"
"2454",1005950300,NA
