borough,CT,NTA
Bronx,2031000,BX31
Bronx,2031200,BX31
Bronx,2031400,BX31
Bronx,2031600,BX31
Bronx,2031800,BX31
Bronx,2032600,BX31
Bronx,2034200,BX31
Bronx,2034400,BX31
Bronx,2034800,BX31
Bronx,2035000,BX31
Bronx,2036000,BX31
Bronx,2023702,BX05
Bronx,2039901,BX05
Bronx,2039902,BX05
Bronx,2040100,BX05
Bronx,2040302,BX05
Bronx,2040501,BX05
Bronx,2040502,BX05
Bronx,2040702,BX05
Bronx,2041100,BX05
Bronx,2041300,BX05
Bronx,2041500,BX05
Bronx,2038700,BX06
Bronx,2038900,BX06
Bronx,2039100,BX06
Bronx,2039300,BX06
Bronx,2039700,BX06
Bronx,2032400,BX07
Bronx,2032800,BX07
Bronx,2033000,BX07
Bronx,2033201,BX07
Bronx,2033202,BX07
Bronx,2033600,BX07
Bronx,2033800,BX07
Bronx,2034000,BX07
Bronx,2014500,BX01
Bronx,2014701,BX01
Bronx,2014702,BX01
Bronx,2016500,BX01
Bronx,2016700,BX01
Bronx,2016900,BX01
Bronx,2038500,BX01
Bronx,2039500,BX01
Bronx,2030200,BX13
Bronx,2046201,BX13
Bronx,2046202,BX13
Bronx,2006000,BX75
Bronx,2012300,BX75
Bronx,2015300,BX75
Bronx,2015500,BX75
Bronx,2015700,BX75
Bronx,2016100,BX75
Bronx,2005902,BX14
Bronx,2006100,BX14
Bronx,2014300,BX14
Bronx,2017300,BX14
Bronx,2017500,BX14
Bronx,2017701,BX14
Bronx,2017702,BX14
Bronx,2017901,BX14
Bronx,2017902,BX14
Bronx,2018101,BX14
Bronx,2018102,BX14
Bronx,2018301,BX14
Bronx,2018302,BX14
Bronx,2022500,BX14
Bronx,2022000,BX17
Bronx,2035900,BX17
Bronx,2036100,BX17
Bronx,2036300,BX17
Bronx,2036501,BX17
Bronx,2036502,BX17
Bronx,2036700,BX17
Bronx,2036901,BX17
Bronx,2036902,BX17
Bronx,2037100,BX17
Bronx,2037300,BX17
Bronx,2037504,BX17
Bronx,2035600,BX03
Bronx,2035800,BX03
Bronx,2036400,BX03
Bronx,2038600,BX03
Bronx,2045600,BX03
Bronx,2045800,BX03
Bronx,2046000,BX03
Bronx,2048400,BX03
Bronx,2023703,BX40
Bronx,2023704,BX40
Bronx,2023900,BX40
Bronx,2038301,BX40
Bronx,2038302,BX40
Bronx,2018900,BX26
Bronx,2019300,BX26
Bronx,2019900,BX26
Bronx,2020100,BX26
Bronx,2021100,BX26
Bronx,2021302,BX26
Bronx,2021900,BX26
Bronx,2008900,BX27
Bronx,2009300,BX27
