MSA,population,onerace,white,black,am.indian,asian,pac.islander,other,multiracial
10180,165252,160385,79.6,7.4,0.7,1.3,0.1,8,2.9
10420,703200,688919,83.3,12.1,0.2,2,0,0.4,2
10500,157308,155437,44.5,52.1,0.2,0.9,0.1,0.9,1.2
10580,870716,849334,84.9,7.7,0.2,3.1,0,1.5,2.5
10740,887077,848776,69.6,2.7,5.9,2,0.1,15.4,4.3
10780,153922,151359,66,29.6,0.8,1.1,0,0.9,1.7
10900,821173,801759,84.5,5,0.3,2.5,0,5.3,2.4
11020,127089,125542,96.2,1.7,0.1,0.6,0,0.2,1.2
11100,249881,243375,79.8,6.1,0.8,2.6,0,8.1,2.6
11180,89542,88024,88.6,2.5,0.2,6,0,1,1.7
11260,380821,351435,70.4,4.5,7.4,6.5,1.6,2,7.7
11300,131636,129306,87.7,8.3,0.2,0.4,0,1.5,1.8
11340,187126,184264,80.1,16,0.3,0.8,0,1.3,1.5
11460,344791,333217,74.5,12.7,0.3,7.9,0,1.2,3.4
11500,118572,116597,74.9,20.6,0.5,0.7,0.1,1.6,1.7
11540,225666,222366,91.9,0.9,1.4,2.8,0,1.5,1.5
11700,424858,416945,89.3,4.5,0.4,0.9,0.1,2.9,1.9
12020,192541,188929,71.4,19.5,0.2,3.2,0,3.7,1.9
12060,5268860,5142769,55.4,32.4,0.3,4.8,0.1,4.5,2.4
12100,274549,265659,65.4,16.1,0.4,7.5,0,7.4,3.2
12220,140247,137988,71.3,22.7,0.3,2.6,0.1,1.3,1.6
12260,556877,544104,58.4,35.3,0.3,1.7,0.1,1.7,2.3
12420,1716289,1661416,72.9,7.4,0.8,4.8,0.1,10.9,3.2
12540,839631,801775,59.5,5.8,1.5,4.2,0.1,24.3,4.5
12580,2710489,2642833,62.1,28.7,0.3,4.5,0.1,1.7,2.5
12620,153923,151574,95.4,0.8,1.2,0.9,0,0.2,1.5
12700,215888,211187,92.7,1.9,0.6,1.1,0,1.5,2.2
12940,802484,792702,59.8,35.6,0.3,1.8,0,1.3,1.2
12980,136146,131957,82.2,10.9,0.6,1.6,0,1.5,3.1
13020,107771,105364,94.1,1.6,0.5,0.5,0,1,2.2
13140,388745,381640,64.7,24.6,0.5,2.5,0,5.9,1.8
13380,201140,193587,85.4,1,2.8,3.5,0.2,3.3,3.8
13460,157733,153740,92.2,0.4,0.9,0.9,0.1,3,2.5
13740,158050,153837,91.1,0.6,3.8,0.6,0.1,1.1,2.7
13780,251725,246063,89.8,4,0.2,3,0,0.8,2.2
13820,1128047,1114744,66.8,28.2,0.3,1.2,0,2.3,1.2
13900,108779,107179,93.2,0.6,4,0.4,0,0.3,1.5
13980,162958,159918,89.5,4.3,0.2,3.4,0,0.6,1.9
14020,192714,188818,90.7,2.4,0.3,3.8,0,0.8,2
14060,169572,165634,84.3,7.3,0.2,4.3,0,1.5,2.3
14260,616561,598905,87.9,0.9,0.9,1.8,0.2,5.4,2.9
14460,4552402,4434201,78.8,7.3,0.2,6.5,0,4.6,2.6
14500,294567,286686,87.2,0.9,0.6,4.1,0.1,4.5,2.7
14540,125953,123465,84.9,8.3,0.3,2.5,0.1,1.9,2
14740,251133,236684,82.6,2.6,1.6,4.9,0.9,1.6,5.8
14860,916829,892801,74.8,10.8,0.3,4.6,0,6.8,2.6
15180,406220,399973,87,0.5,0.4,0.7,0,9.8,1.5
15260,112370,110491,71.2,23.5,0.3,0.9,0.1,2.3,1.7
15380,1135509,1114320,81.6,12.2,0.7,2.3,0,1.3,1.9
15500,151131,147995,71.1,18.8,0.7,1.2,0,6.1,2.1
15540,211261,207043,93.3,1.7,0.5,2.2,0,0.4,2
15940,404422,395780,89.4,7.1,0.3,0.7,0,0.4,2.1
15980,618754,605889,83,8.3,0.4,1.4,0.1,4.9,2.1
16020,96275,94638,87.5,8.6,0.3,1,0,0.9,1.7
16180,55274,53654,81.1,1.9,2.4,2.1,0.2,9.4,2.9
16220,75450,73640,92.8,0.9,1,0.7,0.1,2.2,2.4
16300,257940,252645,92,3.4,0.3,1.5,0.1,0.6,2.1
16580,231891,226053,76.6,10.8,0.3,7.8,0.1,1.9,2.5
16620,304284,299390,92.3,4.8,0.2,0.8,0,0.2,1.6
16700,664607,650712,65.6,27.7,0.5,1.6,0.1,2.5,2.1
16740,1758038,1718640,65.1,24,0.5,3.1,0.1,5,2.2
16820,201559,196665,79,12.5,0.3,3.9,0,2,2.4
16860,528143,519599,81.1,13.9,0.3,1.4,0.1,1.6,1.6
16940,91738,88927,88.5,2.5,1,1.1,0.2,3.8,3.1
16980,9461105,9230937,65.4,17.4,0.4,5.6,0,8.8,2.4
17020,220000,209556,81.9,1.6,2,4.1,0.2,5.5,4.7
17140,2130151,2090764,82.9,12,0.2,1.9,0.1,1.1,1.8
17300,273949,263447,73.2,18.3,0.6,1.6,0.4,2.1,3.8
17420,115788,113807,91.4,3.7,0.3,0.7,0.1,2.1,1.7
17460,2077240,2035110,74.1,20.1,0.2,2,0,1.7,2
17660,138494,135172,94.5,0.3,1.3,0.7,0.1,0.8,2.4
17780,228660,223448,73.2,11.9,0.5,4.5,0.1,7.6,2.3
17820,645613,613248,80.3,6,1,2.7,0.3,4.8,5
17860,172786,168023,83.3,9.1,0.4,3.6,0.1,0.9,2.8
17900,767598,752601,60.4,33.2,0.4,1.7,0.1,2.3,2
17980,294865,286880,52.5,40.4,0.4,1.7,0.2,2.1,2.7
18020,76794,75582,89.6,1.8,0.3,3.4,0.1,3.2,1.6
18140,1836536,1790117,77.5,14.9,0.2,3.1,0.1,1.7,2.5
18580,428185,417833,82.5,3.5,0.6,1.6,0.1,9.3,2.4
18700,85579,82519,87.1,0.9,0.7,5.2,0.2,2.3,3.6
18880,180822,173721,81.1,9.3,0.6,2.9,0.2,2,3.9
19060,103299,101765,90.9,6.6,0.1,0.7,0,0.2,1.5
19100,6371773,6192010,65.3,15.1,0.7,5.4,0.1,10.6,2.8
19140,142227,138953,80.1,2.9,0.6,1,0.1,13.1,2.3
19180,81625,79855,82.5,13,0.2,0.7,0,1.5,2.2
19260,106561,105290,64.2,32.7,0.2,0.5,0,1.1,1.2
19340,379690,369473,86,6.8,0.3,1.6,0,2.6,2.7
19380,841502,822208,80,15,0.2,1.8,0,0.7,2.3
19460,153829,149987,79.3,11.8,1.9,0.5,0.1,3.9,2.5
19500,110768,108014,79.3,16.3,0.2,1,0,0.7,2.5
19660,494593,484083,82.5,10.5,0.4,1.5,0,2.9,2.1
19740,2543482,2452466,78,5.6,1,3.7,0.1,8,3.6
19780,569633,557416,87.2,4.7,0.3,3,0.1,2.5,2.1
19820,4296250,4201618,70.1,22.8,0.3,3.3,0,1.2,2.2
20020,145639,143288,72.8,23.1,0.5,0.6,0,1.3,1.6
20100,162310,156587,67.8,24,0.6,2,0.1,2,3.5
20220,93653,92436,94.1,2.7,0.2,0.9,0.3,0.5,1.3
20260,279771,273228,92.6,1.3,2.7,0.8,0,0.2,2.3
20500,504357,492319,59.3,27.1,0.5,4.4,0,6.3,2.4
20740,161151,158904,94,1.2,0.5,2.5,0,0.4,1.4
20940,174528,166806,58.8,3.3,1.8,1.6,0.1,30,4.4
21060,119736,115768,82.1,10.6,0.5,1.8,0.3,1.4,3.3
21140,197559,192634,82.9,5.7,0.4,1,0,7.5,2.5
21300,88830,86458,88.7,6.6,0.3,1.2,0,0.6,2.7
21340,800647,780943,82.1,3.1,0.8,1,0.1,10.5,2.5
21500,280566,274688,88.2,7.2,0.2,1.1,0,1.2,2.1
21660,351715,337052,88.3,1,1.2,2.4,0.2,2.8,4.2
21780,358676,351977,89.9,6.2,0.2,1,0.1,0.9,1.9
21820,97581,90910,77,4.5,7,2.7,0.4,1.5,6.8
22020,208777,204669,92,2,1.3,2.1,0,0.6,2
22140,130044,125503,51.6,0.6,36.6,0.4,0.1,7.3,3.5
22180,366383,349423,50.6,36.3,2.6,2.1,0.4,3.5,4.6
22220,463204,450579,81.9,1.9,1.5,2.4,1.1,8.4,2.7
22380,134421,130310,61.7,1.2,27.3,1.4,0.1,5.2,3.1
22420,425790,414774,74.5,20.7,0.5,0.9,0,0.7,2.6
22500,205566,203275,55.2,41.4,0.3,0.9,0,1,1.1
22520,147137,144986,84.2,12.3,0.4,0.6,0,1,1.5
22540,101633,100319,94.1,1.3,0.5,1.1,0,1.7,1.3
22660,299630,291725,90.5,0.8,0.7,1.9,0.1,3.2,2.6
22900,298592,285041,78.6,3.6,6.3,2.2,0.1,4.6,4.5
23060,416257,405188,81.9,10,0.3,2.4,0,2.6,2.7
23420,930450,888164,55.4,5.3,1.7,9.6,0.2,23.3,4.5
23460,104430,102885,80.3,15.1,0.4,0.6,0.2,1.9,1.5
23540,264275,257481,71,19.4,0.3,5,0.1,1.7,2.6
23580,179684,175722,74.1,7.4,0.5,1.8,0.1,13.9,2.2
24020,128923,127344,95.6,1.9,0.2,0.6,0,0.5,1.2
24140,122623,119799,58.8,31.4,0.4,1.2,0.1,5.9,2.3
24220,98461,96196,91.3,1.7,2.1,1.5,0,1.1,2.3
24300,146723,142830,89.4,0.6,1.1,0.8,0.1,5.4,2.7
24340,774160,753574,83.1,8.1,0.5,1.9,0,3.8,2.7
24500,81327,78380,89.2,1.2,4.3,0.8,0.1,0.6,3.6
24540,252825,245393,82.9,1,1.1,1.2,0.1,10.8,2.9
24580,306241,300261,88.4,1.8,2.4,2.3,0,3.1,2
24660,723801,708399,65,25.5,0.5,2.9,0,3.8,2.1
24780,189510,185808,58,34.4,0.4,1.4,0.1,3.8,2
24860,636986,625886,76.2,16.7,0.3,1.7,0,3.3,1.7
25060,248820,242718,73.6,19.3,0.5,2.3,0.1,1.7,2.5
25180,269140,262371,86.9,8,0.2,1.1,0,1.1,2.5
25260,152982,145490,54.3,7.2,1.7,3.7,0.2,28.1,4.9
25420,549475,536483,82.6,10.2,0.2,2.9,0,1.8,2.4
25500,125228,122653,87.5,3.5,0.3,1.7,0.1,4.9,2.1
25540,1212381,1182319,76.9,10.9,0.2,3.9,0,5.6,2.5
25620,142842,141087,68.1,28.3,0.2,0.8,0,1.2,1.2
25860,365497,359242,85.1,6.9,0.3,2.6,0.1,3.3,1.7
25980,77917,74467,49.9,39.1,0.6,1.7,0.6,3.7,4.4
26100,263801,258463,90.1,1.5,0.4,2.6,0,3.4,2
26180,953207,740171,20.8,2,0.3,43.9,9.5,1.1,22.3
26300,96024,93810,86.4,7.9,0.6,0.7,0,2,2.3
26380,208178,204074,74.5,16.3,4.3,0.9,0,2,2
26420,5946800,5767291,60.2,17.2,0.6,6.5,0.1,12.3,3
26580,287702,283595,94.8,2.7,0.2,0.6,0,0.2,1.4
26620,417593,407870,70.6,21.7,0.7,2.2,0.1,2.3,2.3
26820,130374,127801,90.7,0.5,0.8,0.7,0.1,5.3,2
26900,1756241,1717964,77,15,0.3,2.3,0,3.2,2.2
26980,152586,149303,87.1,4.2,0.2,4.5,0,1.8,2.2
