msa,workers,meandollars,totaldollars
10100,24914,49626,1236382164
10140,32037,47546,1523231202
10180,84484,46058,3891164072
10220,19214,41982,806642148
10260,4753,28258,134310274
10300,50201,48168,2418081768
10380,89423,26421,2362645083
10420,379122,56897,21570904434
10460,29092,41796,1215929232
10500,68613,46125,3164774625
10540,55582,46037,2558828534
10580,492109,61083,30059494047
10620,29475,42348,1248207300
10660,16988,48452,823102576
10700,42798,44527,1905666546
10740,447559,52997,23719284323
10780,68484,45227,3097325868
10820,20926,54042,1130882892
10860,18355,52065,955653075
10900,445951,59219,26408772269
10940,18460,45142,833321320
10980,14193,42459,602620587
11020,64093,47629,3052685497
11060,12732,43625,555433500
11100,135265,51255,6933007575
11140,15633,41533,649285389
11180,62389,54147,3378177183
11220,24638,45987,1133027706
11260,227547,65020,14795105940
11380,8678,63161,548111158
11420,18916,46662,882658392
11460,209871,70744,14847114024
11500,55925,44105,2466572125
11540,133671,54465,7280391015
11580,13671,36232,495327672
11620,23062,44865,1034676630
11640,55511,26618,1477591798
11660,12230,43673,534120790
11680,18385,45397,834623845
11700,219819,48726,10710900594
11740,27696,44549,1233829104
11780,46419,43796,2032966524
11820,19947,46841,934337427
11860,8962,44526,399042012
11900,36256,44482,1612739392
11940,23765,43033,1022679245
11980,34732,45889,1593816748
12020,102869,49724,5115058156
12060,2873010,62348,1.79126E+11
12100,144983,56936,8254752088
12140,22077,49510,1093032270
12180,40993,51714,2119912002
12220,81149,52798,4284504902
12260,274459,51126,14031990834
12300,65547,48478,3177587466
12380,21057,50277,1058682789
12420,1078014,63462,68412924468
12460,10968,40923,448843464
12540,375918,52675,19801480650
12580,1519089,70100,1.06488E+11
12620,83080,49021,4072664680
12660,36139,46655,1686065045
12680,22800,45193,1030400400
12700,116657,66266,7730392762
12740,35628,54561,1943899308
12780,25734,55026,1416039084
12820,11134,34947,389099898
12860,32902,46707,1536753714
12900,17273,42807,739405311
12940,424142,56454,23944512468
12980,64734,48505,3139922670
13020,51432,50230,2583429360
13060,17389,46627,810796903
13100,12215,46950,573494250
13140,192145,54030,10381594350
13180,48790,48502,2366412580
13220,51432,48134,2475627888
13260,22874,45912,1050191088
13300,12757,44423,566704211
13340,23436,48348,1133083728
13380,115626,55036,6363592536
13420,24443,45823,1120051589
13460,85785,56386,4837073010
13500,11500,38816,446384000
13540,20289,53240,1080186360
13620,20204,45603,921363012
13660,22066,45298,999545668
13700,16715,48846,816460890
13720,24328,46649,1134876872
13740,92984,54166,5036571344
13780,129356,52767,6825728052
13820,560649,56534,31695730566
13900,75372,56486,4257462792
13940,21979,44388,975603852
13980,102592,51148,5247375616
14010,111917,61079,6835778443
14020,100034,52381,5239880954
14100,42390,52877,2241456030
14140,45749,46832,2142517168
14180,20486,43092,882782712
14220,17862,44831,800771322
14260,334079,53078,17732245162
14340,15059,49977,752603643
14380,31713,49843,1580671059
