msa,msaname,population
10100,"Aberdeen, SD Micro Area",42078
10140,"Aberdeen, WA Micro Area",71419
10180,"Abilene, TX Metro Area",167945
10220,"Ada, OK Micro Area",38055
10300,"Adrian, MI Micro Area",98902
10420,"Akron, OH Metro Area",703744
10460,"Alamogordo, NM Micro Area",65318
10500,"Albany, GA Metro Area",155917
10540,"Albany, OR Metro Area",118971
10580,"Albany-Schenectady-Troy, NY Metro Area",877846
10620,"Albemarle, NC Micro Area",60586
10660,"Albert Lea, MN Micro Area",30897
10700,"Albertville, AL Micro Area",94318
10740,"Albuquerque, NM Metro Area",902731
10780,"Alexandria, LA Metro Area",154587
10820,"Alexandria, MN Micro Area",36620
10860,"Alice, TX Micro Area",41461
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",828232
10940,"Alma, MI Micro Area",41878
10980,"Alpena, MI Micro Area",29068
11020,"Altoona, PA Metro Area",126448
11060,"Altus, OK Micro Area",26056
11100,"Amarillo, TX Metro Area",259216
11140,"Americus, GA Micro Area",36503
11180,"Ames, IA Metro Area",93586
11220,"Amsterdam, NY Micro Area",49779
11260,"Anchorage, AK Metro Area",395285
11380,"Andrews, TX Micro Area",16775
11420,"Angola, IN Micro Area",34267
11460,"Ann Arbor, MI Metro Area",354092
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",116648
11540,"Appleton, WI Metro Area",230108
11580,"Arcadia, FL Micro Area",34957
11620,"Ardmore, OK Micro Area",48442
11660,"Arkadelphia, AR Micro Area",22751
11680,"Arkansas City-Winfield, KS Micro Area",36079
11700,"Asheville, NC Metro Area",437252
11740,"Ashland, OH Micro Area",53189
11780,"Ashtabula, OH Micro Area",99777
11820,"Astoria, OR Micro Area",37382
11860,"Atchison, KS Micro Area",16633
11900,"Athens, OH Micro Area",64974
11940,"Athens, TN Micro Area",52506
11980,"Athens, TX Micro Area",79016
12020,"Athens-Clarke County, GA Metro Area",198225
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5535837
12100,"Atlantic City-Hammonton, NJ Metro Area",275376
12140,"Auburn, IN Micro Area",42449
12180,"Auburn, NY Micro Area",79173
12220,"Auburn-Opelika, AL Metro Area",150982
12260,"Augusta-Richmond County, GA-SC Metro Area",580178
12300,"Augusta-Waterville, ME Micro Area",121112
12380,"Austin, MN Micro Area",39227
12420,"Austin-Round Rock, TX Metro Area",1889094
12460,"Bainbridge, GA Micro Area",27378
12540,"Bakersfield, CA Metro Area",865736
12580,"Baltimore-Columbia-Towson, MD Metro Area",2769818
12620,"Bangor, ME Metro Area",153437
12660,"Baraboo, WI Micro Area",62992
12680,"Bardstown, KY Micro Area",44564
12700,"Barnstable Town, MA Metro Area",214766
12740,"Barre, VT Micro Area",59132
12780,"Bartlesville, OK Micro Area",51760
12820,"Bastrop, LA Micro Area",27012
12860,"Batavia, NY Micro Area",59458
12900,"Batesville, AR Micro Area",36952
12940,"Baton Rouge, LA Metro Area",819861
12980,"Battle Creek, MI Metro Area",134790
13020,"Bay City, MI Metro Area",106698
13060,"Bay City, TX Micro Area",36598
13100,"Beatrice, NE Micro Area",21818
13140,"Beaumont-Port Arthur, TX Metro Area",405695
13180,"Beaver Dam, WI Micro Area",88547
13220,"Beckley, WV Metro Area",124027
13260,"Bedford, IN Micro Area",45814
13300,"Beeville, TX Micro Area",32659
13340,"Bellefontaine, OH Micro Area",45484
13380,"Bellingham, WA Metro Area",207100
13420,"Bemidji, MN Micro Area",45434
13460,"Bend-Redmond, OR Metro Area",166622
13500,"Bennettsville, SC Micro Area",27993
13540,"Bennington, VT Micro Area",36589
13620,"Berlin, NH-VT Micro Area",38077
13660,"Big Rapids, MI Micro Area",43301
13700,"Big Spring, TX Micro Area",37285
13720,"Big Stone Gap, VA Micro Area",60000
13740,"Billings, MT Metro Area",164716
13780,"Binghamton, NY Metro Area",248292
13820,"Birmingham-Hoover, AL Metro Area",1138476
13900,"Bismarck, ND Metro Area",123407
13940,"Blackfoot, ID Micro Area",45407
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",180482
14010,"Bloomington, IL Metro Area",189502
14020,"Bloomington, IN Metro Area",163596
14100,"Bloomsburg-Berwick, PA Metro Area",85420
14140,"Bluefield, WV-VA Micro Area",105761
14180,"Blytheville, AR Micro Area",44864
14220,"Bogalusa, LA Micro Area",46556
14260,"Boise City, ID Metro Area",651402
14340,"Boone, IA Micro Area",26401
14380,"Boone, NC Micro Area",52240
14420,"Borger, TX Micro Area",21858
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4694565
14500,"Boulder, CO Metro Area",310032
14540,"Bowling Green, KY Metro Area",164245
14580,"Bozeman, MT Micro Area",95323
14620,"Bradford, PA Micro Area",42884
14660,"Brainerd, MN Micro Area",91567
14700,"Branson, MO Micro Area",84930
14720,"Breckenridge, CO Micro Area",28940
14740,"Bremerton-Silverdale, WA Metro Area",255441
14780,"Brenham, TX Micro Area",34236
14820,"Brevard, NC Micro Area",32928
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",939983
15020,"Brookhaven, MS Micro Area",34765
15060,"Brookings, OR Micro Area",22338
15100,"Brookings, SD Micro Area",33046
15180,"Brownsville-Harlingen, TX Metro Area",417947
15220,"Brownwood, TX Micro Area",37833
15260,"Brunswick, GA Metro Area",114202
15340,"Bucyrus, OH Micro Area",42725
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135734
15420,"Burley, ID Micro Area",43648
15460,"Burlington, IA-IL Micro Area",47250
15500,"Burlington, NC Metro Area",155258
15540,"Burlington-South Burlington, VT Metro Area",215081
15580,"Butte-Silver Bow, MT Micro Area",34549
15620,"Cadillac, MI Micro Area",47739
15660,"Calhoun, GA Micro Area",55889
15680,"California-Lexington Park, MD Metro Area",109614
15700,"Cambridge, MD Micro Area",32534
15740,"Cambridge, OH Micro Area",39626
15780,"Camden, AR Micro Area",30289
15820,"Campbellsville, KY Micro Area",24993
15860,"Ca–on City, CO Micro Area",46809
15900,"Canton, IL Micro Area",36323
15940,"Canton-Massillon, OH Metro Area",403340
15980,"Cape Coral-Fort Myers, FL Metro Area",663675
16020,"Cape Girardeau, MO-IL Metro Area",97326
16060,"Carbondale-Marion, IL Metro Area",126655
16100,"Carlsbad-Artesia, NM Micro Area",55641
16180,"Carson City, NV Metro Area",54482
16220,"Casper, WY Metro Area",80011
16260,"Cedar City, UT Micro Area",47139
16300,"Cedar Rapids, IA Metro Area",263003
16340,"Cedartown, GA Micro Area",41215
16380,"Celina, OH Micro Area",40863
16460,"Centralia, IL Micro Area",38665
16500,"Centralia, WA Micro Area",75515
16540,"Chambersburg-Waynesboro, PA Metro Area",152285
16580,"Champaign-Urbana, IL Metro Area",236096
16620,"Charleston, WV Metro Area",223922
16660,"Charleston-Mattoon, IL Micro Area",63980
16700,"Charleston-North Charleston, SC Metro Area",712232
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2338792
16820,"Charlottesville, VA Metro Area",225070
16860,"Chattanooga, TN-GA Metro Area",541124
16940,"Cheyenne, WY Metro Area",95431
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9534008
17020,"Chico, CA Metro Area",222564
17060,"Chillicothe, OH Micro Area",77334
17140,"Cincinnati, OH-KY-IN Metro Area",2139466
17200,"Claremont-Lebanon, NH-VT Micro Area",217555
17220,"Clarksburg, WV Micro Area",94176
17260,"Clarksdale, MS Micro Area",25254
17300,"Clarksville, TN-KY Metro Area",274389
17340,"Clearlake, CA Micro Area",64158
17380,"Cleveland, MS Micro Area",33803
17420,"Cleveland, TN Metro Area",118749
17460,"Cleveland-Elyria, OH Metro Area",2064483
17500,"Clewiston, FL Micro Area",38363
17540,"Clinton, IA Micro Area",48365
17580,"Clovis, NM Micro Area",50497
17660,"Coeur d'Alene, ID Metro Area",145046
17700,"Coffeyville, KS Micro Area",34184
17740,"Coldwater, MI Micro Area",43706
17780,"College Station-Bryan, TX Metro Area",239096
17820,"Colorado Springs, CO Metro Area",678364
17860,"Columbia, MO Metro Area",170770
17900,"Columbia, SC Metro Area",792530
17980,"Columbus, GA-AL Metro Area",312016
18020,"Columbus, IN Metro Area",79488
18060,"Columbus, MS Micro Area",59699
18100,"Columbus, NE Micro Area",32642
18140,"Columbus, OH Metro Area",1972375
18180,"Concord, NH Micro Area",147262
18220,"Connersville, IN Micro Area",23773
18260,"Cookeville, TN Micro Area",107406
18300,"Coos Bay, OR Micro Area",62775
18380,"Cordele, GA Micro Area",23314
18420,"Corinth, MS Micro Area",37319
18460,"Cornelia, GA Micro Area",43527
18500,"Corning, NY Micro Area",98665
18580,"Corpus Christi, TX Metro Area",442422
18620,"Corsicana, TX Micro Area",48118
